NombreDepartamento,count,mean,max
AMAZONAS,79.0,254941852.5443038,2973986874.0
ANTIOQUIA,1837.0,120914088.0909091,7300655855.0
ARAUCA,292.0,241799588.2260274,5059393053.0
ATLANTICO,439.0,323558256.2300683,8034154431.0
BOGOTA,1338.0,41632919.23243647,2478255896.0
BOLIVAR,751.0,370024603.0838882,20678799383.0
BOYACA,2033.0,59395590.26217413,5231089766.0
CALDAS,798.0,64615278.6754386,2883841810.0
CAQUETA,956.0,67124917.25627615,5079100311.0
CASANARE,972.0,189248096.33333334,10659004871.0
CAUCA,2238.0,52740475.81233244,4900140378.0
CESAR,760.0,291529734.5986842,25390090336.0
CHOCO,655.0,186107219.64732826,4474102880.0
CORDOBA,853.0,253385474.28604925,8421082301.0
CUNDINAMARCA,1312.0,82216334.53582317,4249465605.0
GUAINIA,44.0,401879234.0681818,4150506737.0
GUAJIRA,573.0,373255456.10296685,26500000000.0
GUAVIARE,313.0,125414975.42172524,4890526678.0
HUILA,624.0,159151717.93269232,7176663642.0
MAGDALENA,516.0,209871358.81782946,5711341699.0
META,1166.0,185151651.39108062,13219167126.0
NARIÑO,1209.0,131934257.76840363,7490355285.0
NORTE DE SANTANDER,821.0,165591961.3313033,5984787312.0
PUTUMAYO,382.0,173478338.5183246,8674372091.0
QUINDIO,266.0,125294711.90225564,3546036821.0
RISARALDA,808.0,67693445.58910891,3433822417.0
SAN ANDRES Y PROVIDENCIA,39.0,475525618.35897434,4140613024.0
SANTANDER,1450.0,82118121.71724138,5283992370.0
SUCRE,808.0,157585652.5779703,9518981759.0
TOLIMA,935.0,85192324.92941177,4667746113.0
VALLE,4326.0,36010905.52496532,6678603683.0
VAUPES,127.0,349224013.47244096,7718961652.0
VICHADA,145.0,172718189.35172415,3248881540.0
